record,record_len,record_days,missing_frac,condition,horizon,seed,n_gaps_requested,n_gaps_placed,gap_len,actual_missing_pct,skill_honest,skill_naive,bias,n_test
HKZA,7166,49.8,0.05,MEDIUM,3,12,19,19,18,4.77,-9.444,-8.469,0.976,1404
HKZA,7166,49.8,0.05,MEDIUM,3,13,19,19,18,4.77,-50.659,-8.069,42.589,1413
HKZA,7166,49.8,0.05,MEDIUM,3,14,19,19,18,4.77,-9.952,-7.351,2.601,1392
HKZA,7166,49.8,0.05,FEW-LONG,1,0,2,2,144,4.02,-8.285,-7.024,1.262,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,1,2,2,144,4.02,-6.748,-10.231,-3.483,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,2,2,2,144,4.02,-8.868,-7.354,1.514,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,3,2,2,144,4.02,-8.169,-8.677,-0.508,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,4,2,2,144,4.02,-9.283,-9.839,-0.556,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,5,2,2,144,4.02,-9.54,-9.917,-0.376,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,6,2,2,144,4.02,-7.287,-8.24,-0.953,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,7,2,2,144,4.02,-8.397,-7.999,0.398,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,8,2,2,144,4.02,-7.343,-7.391,-0.048,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,9,2,2,144,4.02,-8.019,-9.919,-1.9,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,10,2,2,144,4.02,-12.694,-7.375,5.319,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,11,2,2,144,4.02,-8.821,-6.752,2.07,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,12,2,2,144,4.02,-7.875,-11.96,-4.085,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,13,2,2,144,4.02,-11.003,-7.68,3.323,1661
HKZA,7166,49.8,0.05,FEW-LONG,1,14,2,2,144,4.02,-9.662,-7.85,1.812,1661
HKZA,7166,49.8,0.05,FEW-LONG,3,0,2,2,144,4.02,-10.673,-9.452,1.221,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,1,2,2,144,4.02,-8.392,-13.761,-5.369,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,2,2,2,144,4.02,-10.051,-8.626,1.424,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,3,2,2,144,4.02,-8.66,-8.806,-0.146,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,4,2,2,144,4.02,-8.675,-10.411,-1.736,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,5,2,2,144,4.02,-10.888,-10.897,-0.009,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,6,2,2,144,4.02,-8.727,-8.985,-0.258,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,7,2,2,144,4.02,-8.699,-8.222,0.477,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,8,2,2,144,4.02,-8.65,-8.85,-0.2,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,9,2,2,144,4.02,-9.119,-6.228,2.891,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,10,2,2,144,4.02,-13.602,-8.495,5.107,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,11,2,2,144,4.02,-9.276,-8.328,0.948,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,12,2,2,144,4.02,-8.183,-10.519,-2.336,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,13,2,2,144,4.02,-13.393,-8.698,4.696,1658
HKZA,7166,49.8,0.05,FEW-LONG,3,14,2,2,144,4.02,-8.858,-7.38,1.478,1658
HKZA,7166,49.8,0.1,MANY-SHORT,1,0,238,238,3,9.96,-52.079,-7.051,45.029,164
HKZA,7166,49.8,0.1,MANY-SHORT,1,1,238,238,3,9.96,-44.789,-8.397,36.392,224
HKZA,7166,49.8,0.1,MANY-SHORT,1,2,238,238,3,9.96,-44.149,-6.441,37.708,239
HKZA,7166,49.8,0.1,MANY-SHORT,1,3,238,238,3,9.96,-105.907,-8.073,97.834,197
HKZA,7166,49.8,0.1,MANY-SHORT,1,4,238,238,3,9.96,-60.421,-9.408,51.012,186
HKZA,7166,49.8,0.1,MANY-SHORT,1,6,238,238,3,9.96,-56.981,-6.71,50.271,208
HKZA,7166,49.8,0.1,MANY-SHORT,1,7,238,238,3,9.96,-27.214,-6.863,20.351,185
HKZA,7166,49.8,0.1,MANY-SHORT,1,8,238,238,3,9.96,-59.709,-6.073,53.637,235
HKZA,7166,49.8,0.1,MANY-SHORT,1,9,238,238,3,9.96,-57.271,-8.684,48.587,207
HKZA,7166,49.8,0.1,MANY-SHORT,1,10,238,238,3,9.96,-107.801,-6.841,100.96,220
HKZA,7166,49.8,0.1,MANY-SHORT,1,11,238,238,3,9.96,-37.343,-7.467,29.876,226
HKZA,7166,49.8,0.1,MANY-SHORT,1,12,238,238,3,9.96,-104.616,-8.193,96.423,192
HKZA,7166,49.8,0.1,MANY-SHORT,1,13,238,238,3,9.96,-58.42,-7.726,50.694,197
HKZA,7166,49.8,0.1,MANY-SHORT,1,14,238,238,3,9.96,-71.032,-7.306,63.726,175
HKZA,7166,49.8,0.1,MANY-SHORT,3,0,238,238,3,9.96,-17.623,-12.12,5.503,151
HKZA,7166,49.8,0.1,MANY-SHORT,3,1,238,238,3,9.96,-26.465,-12.82,13.646,210
HKZA,7166,49.8,0.1,MANY-SHORT,3,2,238,238,3,9.96,-42.481,-9.013,33.467,224
HKZA,7166,49.8,0.1,MANY-SHORT,3,3,238,238,3,9.96,-58.278,-8.601,49.677,184
HKZA,7166,49.8,0.1,MANY-SHORT,3,4,238,238,3,9.96,-30.563,-10.823,19.74,174
HKZA,7166,49.8,0.1,MANY-SHORT,3,6,238,238,3,9.96,-19.517,-5.219,14.298,195
