missing_frac,condition,horizon,seed,n_gaps,gap_len,actual_missing_pct,skill_honest,skill_naive,bias,n_test
0.2,FEW-LONG,3,4,8,144,18.82,-16.537,-11.201,5.336,1091
0.2,FEW-LONG,3,5,8,144,18.82,-15.442,-10.019,5.423,1086
0.2,FEW-LONG,3,6,8,144,18.82,-16.573,-16.291,0.282,1094
0.2,FEW-LONG,3,7,8,144,18.82,-28.503,-27.727,0.777,1086
0.2,FEW-LONG,3,8,8,144,18.82,-15.508,-8.253,7.255,1086
0.2,FEW-LONG,3,9,8,144,18.82,-34.334,-17.651,16.683,1086
0.2,FEW-LONG,3,10,8,144,18.82,-14.858,-14.894,-0.036,1086
0.2,FEW-LONG,3,11,8,144,18.82,-13.339,-12.869,0.47,1086
0.2,FEW-LONG,3,12,8,144,18.82,-20.061,-13.656,6.404,1110
0.2,FEW-LONG,3,13,8,144,18.82,-12.597,-10.79,1.806,1094
0.2,FEW-LONG,3,14,8,144,18.82,-29.701,-16.515,13.186,1103
0.2,FEW-LONG,3,15,8,144,18.82,-14.07,-15.949,-1.879,1086
0.2,FEW-LONG,3,16,8,144,18.82,-13.218,-26.005,-12.787,1098
0.2,FEW-LONG,3,17,8,144,18.82,-36.257,-30.723,5.534,1086
0.2,FEW-LONG,3,18,8,144,18.82,-24.487,-33.73,-9.243,1091
0.2,FEW-LONG,3,19,8,144,18.82,-22.86,-23.071,-0.211,1086
0.2,FEW-LONG,3,20,8,144,18.82,-17.39,-16.357,1.033,1094
0.2,FEW-LONG,3,21,8,144,18.82,-21.586,-43.643,-22.057,1086
0.2,FEW-LONG,3,22,8,144,18.82,-19.855,-15.99,3.864,1086
0.2,FEW-LONG,3,23,8,144,18.82,-16.126,-12.55,3.576,1088
0.2,FEW-LONG,3,24,8,144,18.82,-34.759,-41.476,-6.717,1091
0.2,FEW-LONG,3,25,8,144,18.82,-29.052,-22.206,6.846,1086
0.2,FEW-LONG,3,26,8,144,18.82,-35.363,-62.366,-27.003,1091
0.2,FEW-LONG,3,27,8,144,18.82,-16.127,-16.744,-0.617,1086
0.2,FEW-LONG,3,28,8,144,18.82,-26.982,-17.232,9.75,1091
0.2,FEW-LONG,3,29,8,144,18.82,-18.256,-17.283,0.973,1104
