rmse_pers_honest,rmse_model_honest,rmse_pers_naive,rmse_model_naive,ratio_honest,ratio_naive,skill_honest,skill_naive,excess_honest,excess_naive,n_test_honest,n_test_naive,n_train_honest,test_target_mean,test_target_std,test_target_sddiff,test_start,test_end,pred_std,pred_min,pred_max,rmse_bias,bias,record,record_len,missing_frac,condition,horizon,seed,gap_len,n_gaps_requested,n_gaps_placed
1.1674604602100431,1.2175595119625409,0.8698233760039464,0.895763093989131,1.0429128466958824,1.029821822108707,-4.291284669588236,-2.9821822108706986,0.050099051752497736,0.025939717985184574,325,937,1014,12.175978461538461,3.0519808905789647,1.2885416592581131,2024-01-09 07:30:00,2024-01-15 23:10:00,2.9849905967712402,3.884249687194824,18.37925910949707,-0.024159333767313163,1.309102458717537,HKWA,4007,0.05,MANY-SHORT,1,0,3,66,66
1.202733983094728,1.1952211346416997,0.865260273857222,0.8940271275882911,0.9937535244213379,1.0332464746160481,0.6246475578662092,-3.3246474616048127,-0.0075128484530282424,0.02876685373106902,352,937,1094,11.937389204545456,3.056819337042226,1.254930113140558,2024-01-09 21:50:00,2024-01-15 23:10:00,2.940711736679077,5.771661281585693,18.132463455200195,0.03627970218409726,-3.949295019471022,HKWA,4007,0.05,MANY-SHORT,1,1,3,66,66
1.2016774089040796,1.2170931398395157,0.8645465076100327,0.8947953977342059,1.0128285102317893,1.03498815836732,-1.2828510231789325,-3.4988158367319944,0.015415730935436134,0.0302488901241732,284,937,891,13.810116197183099,1.9747543448271503,1.2861019975929644,2024-01-08 18:30:00,2024-01-15 23:10:00,1.8715156316757202,7.0650739669799805,18.49182891845703,0.014833159188737066,-2.215964813553062,HKWA,4007,0.05,MANY-SHORT,1,2,3,66,66
1.2637998741394936,1.2744275463216987,0.866080117855323,0.897373843984857,1.0084092999213514,1.0361325996110229,-0.8409299921351421,-3.6132599611022886,0.010627672182205172,0.03129372612953396,320,937,999,11.817000000000002,3.3713879727050102,1.3194248487750782,2024-01-11 04:20:00,2024-01-15 23:10:00,3.3378677368164062,4.981387615203857,18.51827621459961,0.02066605394732879,-2.7723299689671466,HKWA,4007,0.05,MANY-SHORT,1,3,3,66,66
1.1543330620673644,1.229854037364122,0.8596317291211663,0.8889028474268971,1.0654239038787494,1.034050765361646,-6.542390387874941,-3.4050765361645974,0.07552097529675761,0.029271118305730814,330,937,1029,12.142557575757575,3.117748410265866,1.195250249833442,2024-01-10 06:30:00,2024-01-15 23:10:00,2.6946847438812256,5.8445329666137695,19.00125503540039,-0.046249856991026794,3.137313851710344,HKWA,4007,0.05,MANY-SHORT,1,4,3,66,66
1.1862375468563977,1.2573065084996322,0.8474614884384655,0.8639232202167879,1.0599112393900965,1.0194247549922946,-5.991123939009646,-1.9424754992294568,0.07106896164323451,0.01646173177832244,313,937,978,10.750757188498403,3.77502525711303,1.1853095424293587,2024-01-11 02:40:00,2024-01-15 23:10:00,3.5408847332000732,4.8228678703308105,18.299413681030273,-0.054607229864912066,4.048648439780189,HKWA,4007,0.05,MANY-SHORT,1,5,3,66,66
1.1677117556923122,1.1955406057492308,0.8670050542764298,0.8869505756300089,1.023831951610712,1.0230050808299207,-2.3831951610711943,-2.30050808299207,0.027828850056918597,0.019945521353579077,356,937,1104,11.16083426966292,3.7342366611711393,1.1772301397838374,2024-01-11 16:40:00,2024-01-15 23:10:00,3.4364662170410156,4.625158309936523,18.63819694519043,-0.00788332870333952,0.08268707807912445,HKWA,4007,0.05,MANY-SHORT,1,6,3,66,66
1.1866587400342545,1.2139077402799245,0.8590258934353002,0.87896127525299,1.0229627940421047,1.023206962642263,-2.296279404210466,-2.3206962642263074,0.027249000245670008,0.019935381817689724,317,937,988,13.21761829652997,2.9633621384249893,1.365489772843585,2024-01-08 06:20:00,2024-01-15 23:10:00,2.873323917388916,5.981279373168945,18.40359115600586,-0.007313618427980284,-0.024416860015841202,HKWA,4007,0.05,MANY-SHORT,1,7,3,66,66
1.1367951459275094,1.231237420660384,0.864034949414682,0.8976141637852664,1.0830776548186432,1.0388632594009442,-8.307765481864315,-3.886325940094415,0.09444227473287459,0.03357921437058442,368,937,1143,11.456225543478263,3.405548603206839,1.1727799786615487,2024-01-10 14:30:00,2024-01-15 23:10:00,3.2678349018096924,5.110855579376221,18.958093643188477,-0.06086306036229017,4.4214395417699,HKWA,4007,0.05,MANY-SHORT,1,8,3,66,66
1.076563201289528,1.1018327884604138,0.8639012460114825,0.8808674118002668,1.023472460456216,1.0196390106706232,-2.347246045621598,-1.9639010670623236,0.025269587170885677,0.016966165788784293,383,937,1188,12.943955613577023,2.5776511634088615,1.176176590297256,2024-01-07 00:50:00,2024-01-15 23:10:00,2.525499105453491,5.9657111167907715,18.25018882751465,-0.008303421382101384,0.38334497855927463,HKWA,4007,0.05,MANY-SHORT,1,9,3,66,66
1.171956702191264,1.191171707455178,0.8705271694945397,0.8881443735744731,1.0163956613994243,1.0202373971741314,-1.6395661399424277,-2.023739717413142,0.019215005263913953,0.01761720407993339,381,937,1180,12.655015748031495,2.6089930338486216,1.1999267179262874,2024-01-08 01:50:00,2024-01-15 23:10:00,2.4837183952331543,5.688779354095459,18.340421676635742,-0.0015978011839805628,-0.38417357747071446,HKWA,4007,0.05,MANY-SHORT,1,10,3,66,66
1.2007137389786693,1.190749902883911,0.8710629480994819,0.8955928187347948,0.9917017389146946,1.0281608472600436,0.8298261085305403,-2.816084726004364,-0.00996383609475826,0.024529870635312867,323,937,1005,12.781513931888545,3.092374543601948,1.3078236690195335,2024-01-07 04:40:00,2024-01-15 23:10:00,3.0016021728515625,5.078925132751465,18.032669067382812,0.03449370673007113,-3.6459108345349045,HKWA,4007,0.05,MANY-SHORT,1,11,3,66,66
1.2879382499991259,1.3218144996013959,0.8698323536018105,0.8877502155449299,1.0263026970449034,1.020599213019526,-2.63026970449034,-2.0599213019526053,0.03387624960226998,0.017917861943119395,296,937,925,12.677425675675675,2.8807337702895603,1.32581769806535,2024-01-08 15:00:00,2024-01-15 23:10:00,2.871920585632324,6.7151923179626465,18.4277286529541,-0.015958387659150586,0.5703484025377348,HKWA,4007,0.05,MANY-SHORT,1,12,3,66,66
1.2065914079164888,1.2396997702067802,0.8617786142252346,0.8800997654023057,1.0274395806841208,1.0212596957903655,-2.743958068412078,-2.1259695790365463,0.03310836229029146,0.018321151177071116,304,937,950,13.025911184210527,3.579255787006886,1.3898931558564094,2024-01-07 13:00:00,2024-01-15 23:10:00,3.4630470275878906,4.778118133544922,18.402301788330078,-0.014787211113220344,0.6179884893755316,HKWA,4007,0.05,MANY-SHORT,1,13,3,66,66
1.238285733730152,1.2510298891852771,0.8692140575877829,0.8945823139189714,1.0102917728178415,1.029185280782952,-1.029177281784155,-2.9185280782952017,0.012744155455125084,0.025368256331188443,317,937,988,12.28198738170347,2.9919251042587574,1.2894023015860032,2024-01-10 21:50:00,2024-01-15 23:10:00,2.959993839263916,6.057957172393799,19.02390480041504,0.01262410087606336,-1.8893507965110468,HKWA,4007,0.05,MANY-SHORT,1,14,3,66,66
1.6303342911680616,1.6429674816809676,1.197634972886877,1.28870603046952,1.0077488344453915,1.0760424166331064,-0.7748834445391539,-7.60424166331064,0.012633190512906012,0.091071057582643,313,937,982,12.228249201277956,3.0401574043674175,1.296288856368556,2024-01-09 07:30:00,2024-01-15 22:50:00,2.6251606941223145,4.7996087074279785,18.259660720825195,0.07843786706973699,-6.829358218771486,HKWA,4007,0.05,MANY-SHORT,3,0,3,66,66
1.70645237581201,1.6215776955819114,1.2125275712298378,1.2588222695193272,0.9502624969596873,1.0381803262770626,4.973750304031266,-3.818032627706258,-0.08487468023009859,0.0462946982894894,339,937,1061,12.02994395280236,3.047784445036654,1.2814996221406054,2024-01-09 22:00:00,2024-01-15 22:50:00,2.946225881576538,5.633920192718506,19.965709686279297,0.131169378519588,-8.791782931737524,HKWA,4007,0.05,MANY-SHORT,3,1,3,66,66
1.7678886254178792,1.7512044085519234,1.200074422718872,1.249774652592354,0.9905626312505902,1.041414289757865,0.9437368749409814,-4.14142897578651,-0.01668421686595578,0.049700229873482105,271,937,858,13.836088560885608,1.9023696621951172,1.2728017466205308,2024-01-08 19:00:00,2024-01-15 22:50:00,1.8861676454544067,8.833367347717285,18.306259155273438,0.06638444673943789,-5.085165850727491,HKWA,4007,0.05,MANY-SHORT,3,2,3,66,66
1.8406595749920114,1.7526722981583174,1.2067660055298437,1.255762699811098,0.9521979631491196,1.040601652728643,4.780203685088036,-4.060165272864302,-0.087987276833694,0.048996694281254305,307,937,964,11.936328990228015,3.382785766676812,1.350469560356202,2024-01-11 05:10:00,2024-01-15 22:50:00,3.3471269607543945,5.980276584625244,17.952646255493164,0.1369839711149483,-8.84036895795234,HKWA,4007,0.05,MANY-SHORT,3,3,3,66,66
1.6825798792796551,1.7844385357187933,1.2107744873116821,1.2530595015699746,1.0605371891661666,1.0349239389344742,-6.053718916616657,-3.492393893447421,0.10185865643913816,0.04228501425829245,319,937,999,12.186993730407522,3.146076077170778,1.1796651475313769,2024-01-10 07:20:00,2024-01-15 22:50:00,2.492225408554077,6.13019323348999,19.174571990966797,-0.05957364218084571,2.5613250231692364,HKWA,4007,0.05,MANY-SHORT,3,4,3,66,66
1.7095089675108461,1.9389911090111385,1.190652719567126,1.279801310987102,1.1342386298414293,1.0748737141862716,-13.423862984142932,-7.4873714186271645,0.22948214150029234,0.08914859141997611,300,937,943,10.846293333333334,3.8126615629971083,1.237781851960788,2024-01-11 03:30:00,2024-01-15 22:50:00,3.1900417804718018,6.430563926696777,17.794170379638672,-0.14033355008031623,5.936491565515768,HKWA,4007,0.05,MANY-SHORT,3,5,3,66,66
1.6679334894906424,1.7839557643158284,1.21019163260207,1.2233144442141726,1.0695604924034574,1.0108435815110428,-6.956049240345741,-1.084358151104281,0.11602227482518601,0.013122811612102492,343,937,1073,11.202145772594752,3.7846477668701395,1.1920625066848265,2024-01-12 05:10:00,2024-01-15 22:50:00,3.147249221801758,5.903390407562256,18.923017501831055,-0.10289946321308352,5.87169108924146,HKWA,4007,0.05,MANY-SHORT,3,6,3,66,66
1.7209442462451277,1.7354925262654033,1.1974201501597248,1.220887248524223,1.0084536614431399,1.0195980486559943,-0.8453661443139859,-1.959804865599435,0.014548280020275639,0.02346709836449823,304,937,955,13.37896052631579,2.8733959321075737,1.3569470738854303,2024-01-08 06:50:00,2024-01-15 22:50:00,2.690413236618042,7.743651390075684,18.166183471679688,0.00891881834422259,-1.114438721285449,HKWA,4007,0.05,MANY-SHORT,3,7,3,66,66
1.6529638948387375,1.8116748664026328,1.2090439655221952,1.2608204910427672,1.0960159940936756,1.0428243529574288,-9.601599409367555,-4.282435295742881,0.15871097156389524,0.05177652552057199,356,937,1111,11.50077247191011,3.42383512896953,1.1913175280871315,2024-01-10 14:50:00,2024-01-15 22:50:00,3.26662015914917,4.431385040283203,18.446746826171875,-0.10693444604332325,5.319164113624674,HKWA,4007,0.05,MANY-SHORT,3,8,3,66,66
1.5594348820490553,1.50256031921912,1.2133247081409295,1.2619895229371398,0.9635287350022569,1.040108648962383,3.6471264997743114,-4.010864896238298,-0.056874562829935416,0.04866481479621032,370,937,1155,12.992802702702704,2.558871674167652,1.1899162285961336,2024-01-07 00:40:00,2024-01-15 22:50:00,2.3509209156036377,5.780405521392822,18.368989944458008,0.10553937762614574,-7.6579913960126085,HKWA,4007,0.05,MANY-SHORT,3,9,3,66,66
