dataset,horizon,origin,train_frac,skill_honest,skill_naive,bias,n_test_honest,n_test_naive,n_test_naive_unaligned,row_expansion,test_start,test_end
D3 Onshore (many short gaps),1,5,0.74,2.19,4.51,2.32,2707,5427,7826,2.0,2015-08-02 07:10:00,2015-09-22 16:00:00
D3 Onshore (many short gaps),1,6,0.8,1.77,4.88,3.11,2708,5694,7827,2.1,2015-08-19 12:40:00,2015-10-06 23:40:00
D3 Onshore (many short gaps),3,1,0.5,-7.93,4.62,12.55,2621,4673,7826,1.78,2015-05-20 18:40:00,2015-07-23 04:00:00
D3 Onshore (many short gaps),3,2,0.56,-6.16,4.8,10.96,2621,5247,7827,2.0,2015-06-05 12:50:00,2015-08-09 05:20:00
D3 Onshore (many short gaps),3,3,0.62,-9.02,4.91,13.93,2621,5445,7827,2.08,2015-06-23 15:40:00,2015-08-24 11:10:00
D3 Onshore (many short gaps),3,4,0.68,1.6,5.63,4.03,2621,5913,7827,2.26,2015-07-09 09:20:00,2015-09-07 02:50:00
D3 Onshore (many short gaps),3,5,0.74,-0.84,6.15,6.99,2621,5397,7827,2.06,2015-08-02 12:00:00,2015-09-22 17:50:00
D3 Onshore (many short gaps),3,6,0.8,-0.9,6.42,7.32,2622,5584,7827,2.13,2015-08-20 10:00:00,2015-10-06 23:20:00
D3 Onshore (many short gaps),6,1,0.5,-5.54,7.24,12.78,2498,4641,7826,1.86,2015-05-20 23:40:00,2015-07-23 09:50:00
D3 Onshore (many short gaps),6,2,0.56,-3.42,7.48,10.9,2498,5218,7826,2.09,2015-06-05 17:20:00,2015-08-10 01:20:00
D3 Onshore (many short gaps),6,3,0.62,-4.2,7.84,12.03,2498,5409,7826,2.17,2015-06-23 21:10:00,2015-08-24 16:50:00
D3 Onshore (many short gaps),6,4,0.68,3.23,8.78,5.55,2498,5438,7826,2.18,2015-07-13 06:30:00,2015-09-07 06:30:00
D3 Onshore (many short gaps),6,5,0.74,-1.29,8.13,9.42,2498,5286,7826,2.12,2015-08-03 07:40:00,2015-09-22 20:30:00
D3 Onshore (many short gaps),6,6,0.8,-1.83,8.24,10.08,2498,5471,7826,2.19,2015-08-21 08:30:00,2015-10-06 22:50:00
