record,horizon,d,n,rmse_pers,rmse_model,rmse_pers_far,rmse_model_far,pers_inflation,model_inflation,frac_displaced,median_gap_before
D2_BUOY,3,6,21,1.3696916719116357,1.4500348890818302,1.0579631874875557,1.0529901298067588,1.2946496514348205,1.377064084492355,0.09523809523809523,5.0
D2_BUOY,3,7,19,0.9591614758955371,1.2881675857565904,1.0579631874875557,1.0529901298067588,0.9066113899230727,1.2233425074867421,0.0,8.0
D2_BUOY,3,8,19,1.1744460284254064,1.4377950331669938,1.0579631874875557,1.0529901298067588,1.1101010340581636,1.3654401807459042,0.0,8.0
D2_BUOY,3,9,19,1.579840935530836,1.7101029009290345,1.0579631874875557,1.0529901298067588,1.493285356442914,1.624044568435667,0.0,8.0
D2_BUOY,3,10,19,0.9150046186779244,0.9664131627960193,1.0579631874875557,1.0529901298067588,0.8648737777453973,0.9177798874272185,0.0,8.0
D2_BUOY,3,11,19,1.067735476384267,0.9934509268355216,1.0579631874875557,1.0529901298067588,1.0092368893476515,0.9434570170357023,0.0,8.0
D2_BUOY,3,12,19,1.6161427299520295,1.4989223332087716,1.0579631874875557,1.0529901298067588,1.5275982652950666,1.4234913422064543,0.0,8.0
D2_BUOY,6,1,23,1.4829715908035577,1.6157358227920557,1.4661426113265605,1.44453868522318,1.0114784055432169,1.1185133629996389,0.17391304347826086,3.0
D2_BUOY,6,2,23,1.5445867796062602,1.8703139943188845,1.4661426113265605,1.44453868522318,1.0535037776500635,1.2947482912372972,0.17391304347826086,3.0
D2_BUOY,6,3,23,1.1527183103680774,1.5905265592001907,1.4661426113265605,1.44453868522318,0.7862252290212765,1.1010619344918795,0.17391304347826086,3.0
D2_BUOY,6,4,23,1.2664022028643487,1.9069522011851119,1.4661426113265605,1.44453868522318,0.8637646795617737,1.3201115488925028,0.17391304347826086,3.0
D2_BUOY,6,5,21,1.8841015470827824,2.1636281037258858,1.4661426113265605,1.44453868522318,1.2850738615243262,1.4977986577019964,0.09523809523809523,5.0
D2_BUOY,6,6,21,2.1560127655880117,2.4132199143656434,1.4661426113265605,1.44453868522318,1.470534141039158,1.6705817151534457,0.09523809523809523,5.0
D2_BUOY,6,7,19,1.0469655010899879,1.5985379189694535,1.4661426113265605,1.44453868522318,0.7140952680876639,1.1066078986472285,0.0,8.0
D2_BUOY,6,8,19,1.0235456923712019,1.3605405731464104,1.4661426113265605,1.44453868522318,0.6981215090973322,0.9418512547043404,0.0,8.0
