dataset,horizon,n_origins,mean_bias,sd_bias,ci_low,ci_high,sign_stable,excludes_zero
D1 ZephIR (contiguous),1,6,0.0,0.0,0.0,0.0,yes,False
D1 ZephIR (contiguous),10,6,0.0,0.0,0.0,0.0,yes,False
D1 ZephIR (contiguous),30,6,0.0,0.0,0.0,0.0,yes,False
D2 WFIP3 Buoy (few long gaps),1,6,-3.61,2.68,-6.42,-0.79,yes,True
D2 WFIP3 Buoy (few long gaps),3,6,-4.26,4.85,-9.35,0.82,NO,False
D2 WFIP3 Buoy (few long gaps),6,6,-2.53,2.8,-5.47,0.41,NO,False
D3 Onshore (many short gaps),1,6,6.17,4.07,1.9,10.44,yes,True
D3 Onshore (many short gaps),3,6,9.3,3.79,5.32,13.27,yes,True
D3 Onshore (many short gaps),6,6,10.13,2.56,7.44,12.81,yes,True
