model,rmse_pers_honest,rmse_model_honest,rmse_pers_naive,rmse_model_naive,skill_honest,skill_naive,excess_honest,excess_naive,n_train_honest,n_test_honest,n_train_naive,n_test_naive,test_start,test_end,test_target_std,bias,rmse_bias,record,record_len,record_days,missing_frac,condition,horizon,replicate,origin,nominal_gap_len,n_gaps_placed,mean_gap_len,achieved_missing_pct,intact_rp,rp_h_over_intact
XGBoost,0.6994005098444894,1.176664126806222,0.6589726718764416,1.1949531162915399,-68.23895754206002,-81.33576205654785,0.4772636169617325,0.5359804444150983,1315,533,4035,1693,2024-08-17 22:40:00,2024-08-30 09:10:00,3.6057186793585143,-13.096804514487829,0.058716827453365816,HKZA,7166,49.8,0.05,MANY-SHORT,1,10,0,3,119,3.0,4.996,0.5787,1.209
XGBoost,0.5833053952821218,1.6330830175171505,0.6576823484240484,1.2130507539190933,-179.97049756882376,-84.44325848577658,1.0497776222350286,0.555368405495045,1661,581,4354,1708,2024-08-20 10:20:00,2024-09-01 20:50:00,5.337308902278607,95.52723908304718,-0.4944092167399836,HKZA,7166,49.8,0.05,MANY-SHORT,1,11,1,3,119,3.0,4.996,0.5787,1.008
XGBoost,0.584539302150475,0.6514922189205593,0.5858340439297012,0.7603961688864062,-11.453963236307585,-29.797197135517116,0.0669529167700843,0.17456212495670498,1525,613,4698,1702,2024-08-22 22:10:00,2024-09-04 08:40:00,2.684280944211241,-18.34323389920953,0.10760920818662068,HKZA,7166,49.8,0.05,MANY-SHORT,1,12,2,3,119,3.0,4.996,0.5787,1.01
XGBoost,0.45431663367783887,0.5577373708730139,0.4916750199586415,0.5308203836346014,-22.764021725982374,-7.9616336171100865,0.10342073719517503,0.03914536367595989,1933,550,5047,1691,2024-08-25 09:50:00,2024-09-06 18:10:00,3.100706058765134,14.802388108872288,-0.06427537351921514,HKZA,7166,49.8,0.05,MANY-SHORT,1,13,3,3,119,3.0,4.996,0.5787,0.785
XGBoost,0.43904091386866545,0.5036945042082919,0.46303439521926376,0.4971010086183293,-14.726096884666863,-7.357253316556256,0.06465359033962642,0.034066613399065526,1787,790,5351,1384,2024-08-27 21:30:00,2024-09-06 18:10:00,3.333158469295883,7.368843568110607,-0.030586976940560895,HKZA,7166,49.8,0.05,MANY-SHORT,1,14,4,3,119,3.0,4.996,0.5787,0.759
XGBoost,0.5889734175142896,1.5129099389534137,0.6452794480639046,1.2153775336028445,-156.8723636694024,-88.34902262104603,0.9239365214391242,0.5700980855389399,1643,520,4038,1687,2024-08-17 22:40:00,2024-08-30 09:10:00,4.608708745746611,68.52334104835637,-0.35383843590018427,HKZA,7166,49.8,0.05,MANY-SHORT,1,15,0,3,119,3.0,4.996,0.5787,1.018
XGBoost,0.5915890896705368,0.75657093105159,0.6537451198989859,1.1833517681146657,-27.887911434089084,-81.01118189570771,0.1649818413810532,0.5296066482156798,1527,639,4346,1719,2024-08-20 10:20:00,2024-09-01 20:50:00,3.0767550353644038,-53.123270461618624,0.3646248068346266,HKZA,7166,49.8,0.05,MANY-SHORT,1,16,1,3,119,3.0,4.996,0.5787,1.022
XGBoost,0.5935982151073176,0.8408804119131226,0.5949268195782085,0.7541020164606036,-41.658177284292954,-26.75542464117642,0.247282196805805,0.15917519688239512,1428,654,4681,1714,2024-08-22 22:10:00,2024-09-04 08:40:00,3.5446859324011037,14.902752643116536,-0.08810699992340987,HKZA,7166,49.8,0.05,MANY-SHORT,1,17,2,3,119,3.0,4.996,0.5787,1.026
XGBoost,0.5003222617723501,0.5660524686043469,0.49372146504950076,0.5295799175290081,-13.137573890706555,-7.262891127472493,0.06573020683199682,0.03585845247950736,1832,640,5056,1679,2024-08-25 09:50:00,2024-09-06 18:10:00,2.63978376455042,5.874682763234063,-0.029871754352489455,HKZA,7166,49.8,0.05,MANY-SHORT,1,18,3,3,119,3.0,4.996,0.5787,0.865
XGBoost,0.49470669300115505,0.5808234386188298,0.46657325570715735,0.5065033396792464,-17.40763705767645,-8.558159620951567,0.08611674561767474,0.03993008397208908,1989,719,5375,1360,2024-08-27 21:30:00,2024-09-06 18:10:00,3.3878282378150915,8.849477436724882,-0.04618666164558566,HKZA,7166,49.8,0.05,MANY-SHORT,1,19,4,3,119,3.0,4.996,0.5787,0.855
XGBoost,0.7585810694566885,1.5970530484886576,0.6456559079898891,1.1907919168512011,-110.53162447521925,-84.43135145444201,0.8384719790319691,0.545136008861312,1273,565,4020,1708,2024-08-17 22:40:00,2024-08-30 09:10:00,4.323971570567707,26.100273020777237,-0.29333597017065716,HKZA,7166,49.8,0.05,MANY-SHORT,1,20,0,3,119,3.0,4.996,0.5787,1.311
XGBoost,0.6388391488693212,1.0037248219756219,0.6682719384353786,1.2268669430527381,-57.11698692105991,-83.58797855932644,0.3648856731063006,0.5585950046173596,1671,406,4384,1681,2024-08-20 10:20:00,2024-09-01 20:50:00,3.4891916755560572,-26.470991638266533,0.19370933151105896,HKZA,7166,49.8,0.05,MANY-SHORT,1,21,1,3,119,3.0,4.996,0.5787,1.104
XGBoost,0.6677983805231642,0.9650070521287271,0.5764699222518006,0.6999001190131034,-44.50574908144051,-21.411385398766548,0.29720867160556286,0.12343019676130285,1827,579,4710,1705,2024-08-22 22:10:00,2024-09-04 08:40:00,4.191489084695584,23.094363682673965,-0.17377847484426,HKZA,7166,49.8,0.05,MANY-SHORT,1,22,2,3,119,3.0,4.996,0.5787,1.154
XGBoost,0.46907012760927824,0.5385266324371273,0.4886037281236286,0.519241342970786,-14.80727523235168,-6.270442299901013,0.06945650482784904,0.030637614847157324,2093,390,5077,1658,2024-08-25 09:50:00,2024-09-06 18:10:00,2.6326707268080907,8.536832932450666,-0.03881888998069172,HKZA,7166,49.8,0.05,MANY-SHORT,1,23,3,3,119,3.0,4.996,0.5787,0.811
XGBoost,0.4936463122762405,0.6000401232940621,0.4611595178213207,0.5088193777127978,-21.55263968796437,-10.3347882998575,0.10639381101782158,0.04765985989147714,1734,468,5370,1368,2024-08-27 21:30:00,2024-09-06 18:10:00,3.050811664689253,11.217851388106869,-0.05873395112634444,HKZA,7166,49.8,0.05,MANY-SHORT,1,24,4,3,119,3.0,4.996,0.5787,0.853
XGBoost,0.6974356031837172,2.175778010704863,0.6398930070450187,1.185403893666155,-211.96830227374033,-85.25032788532376,1.4783424075211458,0.5455108866211363,1109,680,4002,1720,2024-08-17 22:40:00,2024-08-30 09:10:00,4.867106224384913,126.71797438841658,-0.9328315209000094,HKZA,7166,49.8,0.05,MANY-SHORT,1,25,0,3,119,3.0,4.996,0.5787,1.205
